"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"34867","Q9D2E2-1;Q9D2E2;A2AGE2"," 2.71"," 3.32",NA," 2.01"," 1.79"," 1.97","  2.09","  1.80"," 2.48"
"34869","Q9D2E2-1;Q9D2E2;A2AGE2",NA,NA,NA,NA," 0.42",NA,NA,NA,NA
"34870","Q9D2E2-1;Q9D2E2;A2AGE2"," 1.79",NA,NA,NA," 1.57",NA,NA,NA,NA
"34872","Q9D2E2-1;Q9D2E2;A2AGE2"," 1.76",NA,NA,NA," 1.64"," 1.59",NA,NA," 1.37"
"34873","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2"," 0.31"," 1.30"," 2.11",NA,"-0.04"," 0.14","  3.47",NA," 3.95"
"34874","Q3UDC3;O88746-1;O88746;Q561M4"," 0.56"," 0.09"," 0.86"," 0.93"," 0.81",NA,"  0.87",NA," 0.98"
"34876","Q3UDC3;O88746-1;O88746;Q561M4",NA,NA,NA,NA," 1.84",NA,NA,NA,NA
"34878","Q3UDC3;O88746-1;O88746;Q561M4",NA," 1.01"," 0.60",NA,NA,NA,NA,NA,NA
"34879","Q3UDC3;O88746-1;O88746;Q561M4"," 0.71"," 0.18"," 0.61",NA,"-0.47",NA,NA,NA,NA
"34880","Q3UDC3;O88746-1;O88746;Q561M4"," 0.25",NA,NA,"-0.37",NA,NA,NA,NA,NA
"34883","Q3UDC3;O88746-1;O88746;Q561M4","-1.15",NA,NA,NA,NA,NA,NA,NA,NA
"34885","Q3UDC3;O88746-1;O88746;Q561M4",NA,NA,NA,NA,NA,"-0.03",NA,NA,NA
"34887","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2",NA,NA,NA,"-0.72",NA,NA," -0.59",NA,NA
"34888","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2",NA,NA,NA,"-0.72",NA,NA,NA,NA,NA
"34889","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2",NA,NA,NA,"-0.72",NA,NA," -0.59",NA,NA
"34890","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2"," 2.58"," 3.37"," 3.34"," 2.88"," 2.72"," 2.86","  3.48","  2.87"," 2.28"
"34891","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2","-0.10","-0.10",NA," 0.53","-1.16","-1.26","  0.59",NA,NA
"34893","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2"," 1.58"," 2.88"," 3.91"," 0.89"," 2.95"," 0.10"," -1.69","  1.71"," 2.97"
"34894","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2"," 2.83"," 2.61"," 2.14",NA,NA,NA,NA,NA,NA
"34895","Q3UDC3;O88746-1;O88746;Q561M4;O88746-2",NA,NA,NA,NA," 0.39",NA,NA," -0.18",NA
"34897","Q5SRX1-1;Q5SRX1;Q5SRX1-2;B1AU84;Q5SXA4;Q5SRX1-4;Q5SRX1-3;B1AU83;Q5SXA5"," 1.46"," 0.69"," 1.64"," 2.53",NA," 2.37",NA,NA," 1.32"
"34898","Q9CPQ3;Q3UBW3"," 0.87",NA,NA,NA,NA,NA,NA,NA,NA
"34899","Q9CPQ3;Q3UBW3",NA,NA,NA,NA," 0.19","-0.04",NA,NA,NA
"34902","Q9CYG7-1;Q9CYG7;Q9CYG7-2"," 1.51"," 0.71"," 1.32",NA," 0.52"," 0.71","  0.10","  0.80"," 0.65"
"34903","Q3TSX8;Q80TT4;Q8BNI6","-0.17"," 0.08","-0.07"," 0.09","-0.32",NA,"  0.16","  0.06"," 0.26"
"34904","Q3TSX8;Q80TT4;Q8BNI6","-0.16"," 0.02","-0.27"," 0.03"," 0.05"," 0.12","  0.18","  0.29","-0.70"
"34905","Q3TSX8;Q80TT4;Q8BNI6",NA,NA,NA,NA,NA,NA,NA," -0.67",NA
"34907","Q3TSX8;Q80TT4;Q8BNI6;Q9CZW5","-1.04",NA," 0.03",NA,"-0.25",NA,NA,NA," 0.13"
"34909","Q3TSX8;Q80TT4;Q8BNI6;Q9CZW5"," 0.05",NA,"-0.24"," 0.45"," 0.46"," 0.18"," -0.12",NA,NA
"34910","Q3TSX8;Q80TT4;Q8BNI6","-0.22","-0.17","-0.20"," 0.17"," 0.03"," 0.11","  0.12","  0.10","-0.08"
"34911","Q3TSX8;Q80TT4;Q8BNI6"," 0.19","-0.16","-0.36"," 0.23","-0.10"," 0.12","  0.85","  0.17",NA
"34912","Q04750;Q3TPX7;Q3TUS4;Q3ULF5;Q569Q5;Q6LBJ0","-0.11"," 0.14"," 0.32","-3.20"," 0.87"," 0.73","  0.44","  0.39",NA
"34914","Q04750;Q3TPX7;Q3TUS4;Q3ULF5;Q569Q5;Q6LBJ0;Q3TSR2;Q6LBJ1","-0.28"," 0.13","-0.02","-2.06"," 0.90"," 0.59"," -1.36","  0.50"," 0.57"
"34915","Q04750;Q3TPX7;Q3TUS4;Q3ULF5;Q569Q5;Q6LBJ0",NA," 0.15",NA,NA,NA,NA,NA,"  0.27",NA
"34916","Q64511;Q3TR62;Q8BRY5",NA,NA," 2.44",NA," 0.38",NA,NA," -0.48",NA
"34917","Q64511;Q3TR62;Q8BRY5",NA,NA," 2.44",NA,NA,NA,NA," -0.48",NA
"34918","Q64511;Q3TR62;Q8BRY5"," 0.13",NA," 0.04",NA,NA,NA,NA,NA,NA
"34919","Q64511;Q3TR62;Q8BRY5"," 0.13",NA," 0.04",NA,NA,NA,NA,NA,NA
"34920","Q64511;Q3TR62;Q8BRY5","-0.76"," 0.04","-0.64"," 0.35"," 0.45"," 0.24","  0.63","  0.35"," 0.25"
"34921","Q64511;Q3TR62;Q8BRY5",NA,NA,NA," 0.30",NA,NA,NA,NA,NA
"34922","Q64511;Q3TR62;Q8BRY5","-0.61","-0.06","-0.43"," 0.66"," 0.67","-0.21","  0.56","  0.05"," 0.20"
"34925","Q64511;Q3TR62;Q8BRY5",NA," 0.46",NA,NA,NA,NA,NA,NA,NA
"34926","Q64511;Q3TR62;Q8BRY5",NA,NA,NA," 0.35",NA,NA,"  0.37",NA,NA
"34927","Q64511;Q3TR62;Q8BRY5","-0.78","-0.17","-0.39"," 0.13"," 0.58"," 0.61","  0.43","  0.37"," 0.15"
"34928","Q64511;Q3TR62;Q8BRY5",NA,NA,NA,NA," 0.16",NA,NA,NA,NA
"34929","Q64511;Q3TR62;Q8BRY5",NA,NA,NA," 0.03",NA,NA,"  0.15",NA,NA
"34930","Q64511;Q3TR62;Q8BRY5","-0.20"," 0.12","-0.24"," 0.49"," 0.46"," 0.38","  0.47","  0.26"," 0.48"
"34931","Q64511;Q3TR62;Q8BRY5","-1.09"," 0.06","-0.24","-0.33"," 0.46"," 0.38","  0.47","  0.26"," 0.48"
"34932","Q64511;Q3TR62;Q8BRY5","-0.56"," 0.00","-0.41"," 0.37","-0.12"," 0.40","  0.58","  0.05",NA
"34933","Q64511;Q3TR62;Q8BRY5"," 1.67"," 1.86"," 0.52"," 1.20"," 1.70"," 1.93","  1.40","  2.55",NA
"34934","Q64511;Q3TR62;Q8BRY5","-1.04"," 0.95"," 0.85"," 1.20"," 0.49"," 0.16","  1.40"," -0.49",NA
"34935","Q64511;Q3TR62;Q8BRY5",NA,NA,NA," 2.74",NA,NA,"  2.30",NA,NA
"34936","Q64511;Q3TR62;Q8BRY5",NA,NA,NA," 2.74",NA,NA,"  2.30",NA,NA
"34937","Q64511;Q3TR62;Q8BRY5","-0.56",NA,"-0.71"," 2.74"," 0.33"," 0.54","  2.59","  0.16",NA
"34939","Q80Z37;A2AP30;Q05D01"," 0.05",NA,"-0.25","-0.06","-0.74",NA,"  0.04",NA,NA
"34940","Q80Z37;A2AP30;Q05D01"," 0.05",NA,"-0.19","-0.06","-0.74",NA,"  0.04",NA,NA
"34942","Q80Z37;A2AP30;Q05D01",NA,NA,NA,NA,"-0.08",NA,NA,NA,NA
"34944","Q80Z37;A2AP30;Q05D01","-0.37",NA,NA,NA,NA,NA,NA,NA,NA
"34947","Q80Z37;A2AP30;Q05D01"," 0.03",NA,NA,NA,NA,NA,NA,NA,NA
"34948","Q80Z37;A2AP30;Q05D01","-0.13",NA,"-0.14"," 0.72",NA,NA,NA,NA,NA
"34949","Q80Z37;A2AP30;Q05D01",NA,NA,"-0.07",NA,NA,NA,NA,NA,NA
"34950","Q80Z37;A2AP30;Q05D01",NA,"-0.01","-0.07",NA,NA,NA,NA,NA,NA
"34951","Q80Z37;A2AP30;Q05D01",NA,"-0.01","-0.07",NA,NA,NA,NA,NA,NA
"34952","Q80Z37;A2AP30;Q05D01","-0.27","-0.05",NA,NA,NA,NA,NA,NA,NA
"34953","Q80Z37;A2AP30;Q05D01"," 0.07",NA,NA,NA," 0.40"," 0.21",NA,NA,NA
"34954","Q80Z37;A2AP30;Q05D01","-0.18","-0.54","-0.05",NA,"-0.02","-0.12",NA,"  0.05","-0.11"
"34955","Q8BU11;Q3U661;Q6A006;Q3UGN7;Q3UVQ1",NA,NA,NA," 0.62",NA,NA,"  0.68",NA,NA
"34956","Q8BU11;Q3U661;Q6A006;Q3UGN7;Q3UVQ1","-0.61","-0.19","-0.58"," 0.46",NA,NA,"  0.44","  0.40",NA
"34957","Q8BU11;Q3U661;Q6A006;Q3UGN7;Q3UVQ1","-0.33","-0.05"," 0.16"," 1.22"," 0.59",NA," -0.09","  0.57",NA
"34958","Q8BU11;Q3U661;Q6A006;Q3UGN7;Q3UVQ1","-0.36",NA," 0.05"," 1.04"," 0.82",NA,"  0.33","  0.57",NA
"34959","Q8BU11;Q3U661;Q6A006;Q3UGN7;Q3UVQ1","-0.35"," 0.41"," 0.15"," 0.65"," 0.59",NA,"  0.33","  0.26",NA
"34960","P70399-1;P70399;P70399-3","-0.15"," 0.31"," 0.09",NA," 0.24"," 0.57",NA,NA," 0.04"
"34961","P70399-1;P70399;P70399-3","-0.27",NA,NA,NA,NA,NA,NA,NA,NA
"34962","P70399-1;P70399;P70399-3",NA," 0.22",NA,NA,NA,NA,NA,NA,NA
"34965","Q62393-1;Q62393;Q62393-2;Q62393-3",NA,NA,NA,"-1.34","-0.89",NA," -1.27",NA,NA
"34968","P17751"," 0.33",NA,NA,NA,"-0.15"," 0.53",NA,NA,NA
"34969","P17751"," 0.14"," 0.09"," 0.34",NA,"-0.23"," 0.01",NA,NA,"-0.59"
"34970","P17751",NA,NA,"-0.26",NA," 0.29",NA,NA," -0.20",NA
"34971","P17751",NA,NA,NA,"-0.25",NA,NA," -0.06",NA,NA
"34973","P17751"," 0.42",NA,NA,NA,NA,NA,NA,NA,NA
"34974","P17751"," 0.30",NA,NA,"-0.62","-0.06"," 0.15"," -0.34","  0.53"," 0.24"
"34975","P21107-2;P21107;Q3TJ53;Q58E70;Q8C7C3"," 0.69",NA,NA,NA,NA,NA,NA,NA,NA
"34976","O55060",NA,NA,NA,"-0.15",NA,NA," -0.21",NA,NA
"34977","O55060"," 0.12"," 0.02","-0.23",NA," 0.14","-0.31",NA,"  0.25","-0.09"
"34978","Q7TQD2;Q3URG1"," 1.56",NA,NA,NA,NA,NA,NA,NA,NA
"34979","Q7TQD2;Q3URG1"," 0.47"," 0.68",NA,"-0.82",NA," 0.33","  0.03",NA,NA
"34980","Q7TQD2;Q3URG1","-0.35"," 0.68",NA,"-0.82",NA,"-1.02","  0.03",NA,NA
"34981","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5",NA,NA,NA,"-0.10"," 0.40",NA," -0.21",NA,NA
"34982","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9"," 0.78"," 1.14"," 1.02",NA," 1.34"," 1.01","  1.43",NA," 1.19"
"34983","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8K2T9"," 1.36",NA,NA,NA,NA,NA,NA,"  3.75",NA
"34986","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5",NA,NA,NA,NA," 1.06",NA,"  0.71",NA,NA
"34987","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5",NA,NA,NA,NA," 1.06",NA,"  0.71",NA,NA
"34990","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5"," 2.89",NA,NA,NA,NA,NA,NA,NA,NA
"34991","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5"," 1.83",NA,NA,NA,NA," 1.94",NA,NA,NA
"34992","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5"," 0.29"," 0.56"," 0.21"," 0.55"," 0.63"," 0.65","  0.58","  0.59"," 0.59"
"34993","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5"," 4.55",NA,NA,NA,NA,NA,NA,NA,NA
"34996","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5",NA," 2.00"," 3.78",NA," 2.70",NA,NA,NA," 2.18"
"34997","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9;Q8BIX0;Q91ZA5"," 3.03"," 2.76"," 3.11"," 1.13"," 2.03"," 2.02","  1.13","  2.27"," 2.87"
"34998","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9",NA,NA," 0.12",NA,NA,NA,NA,NA,NA
"34999","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9",NA," 0.15"," 0.12",NA,NA,NA,NA," -0.10",NA
"35000","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9",NA,NA," 0.45",NA,NA,NA,NA,NA,NA
"35001","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9",NA,NA," 0.45",NA,NA,NA,NA,NA,NA
"35007","Q05CS8;Q32P08;Q3TZB5;Q3UVR0;Q3V1L5;Q7M739;Q8BU18;Q8R4A0;Q921B9",NA,NA,NA,NA,NA,NA,NA,NA," 1.27"
"35008","A2AI08",NA,NA,NA,NA,NA," 0.15",NA,NA,NA
"35009","A2AI08",NA,NA,NA,NA," 0.21",NA,NA,NA,NA
"35010","Q6PFR5;Q3TAP5;Q3TNU2","-0.63","-0.09","-0.04"," 0.19","-0.58",NA,NA,"  0.13",NA
"35011","Q6PFR5;Q3TAP5;Q3TNU2","-0.33","-0.01",NA,NA," 0.83"," 0.49",NA,"  0.06"," 0.23"
"35013","Q6PFR5;Q3TAP5;Q3TNU2"," 0.15",NA,NA,NA,NA,NA,NA,NA," 0.20"
"35014","Q6PFR5;Q3TAP5;Q3TNU2"," 0.15",NA,NA,NA,NA,NA,NA,NA," 0.20"
"35015","Q6PFR5;Q3TAP5;Q3TNU2"," 0.15",NA,NA,NA,NA,NA,NA,NA," 0.20"
"35016","Q6PFR5;Q3TAP5;Q3TNU2","-0.42"," 0.05","-0.19",NA," 0.15",NA,NA,"  0.02"," 0.13"
"35017","Q6PFR5;Q3TAP5;Q3TNU2","-0.63",NA,"-0.30",NA,NA,NA,NA,NA,"-0.08"
"35020","Q6PFR5;Q3TAP5;Q3TNU2"," 0.17",NA,NA,NA,NA,NA,NA,NA,NA
"35021","Q6PFR5;Q3TAP5;Q3TNU2"," 1.99"," 1.26"," 3.48",NA,NA,NA,NA,"  3.77"," 2.63"
"35022","Q6PFR5;Q3TAP5;Q3TNU2",NA,NA,NA,NA,NA,NA,NA,NA," 0.20"
"35023","Q6PFR5;Q3TAP5;Q3TNU2","-0.18","-0.19","-0.12",NA,NA,NA,NA,"  0.40",NA
"35024","Q6PFR5;Q3TAP5;Q3TNU2","-0.11","-0.09"," 0.01"," 0.19",NA,NA,NA,"  0.11",NA
"35025","Q6PFR5;Q3TAP5;Q3TNU2","-0.63","-0.09"," 0.01"," 0.19",NA,NA,NA,"  0.10",NA
"35026","Q6PFR5;Q3TAP5;Q3TNU2"," 0.20",NA,"-0.14",NA,NA,NA,NA,"  0.26",NA
"35027","Q6PFR5;Q3TAP5;Q3TNU2","-0.14","-0.04","-0.18"," 0.19",NA,NA,"  0.06","  0.21"," 0.49"
"35028","Q6PFR5;Q3TAP5;Q3TNU2","-0.15"," 0.73","-0.22"," 0.19",NA,NA,"  0.06"," -3.53"," 0.49"
"35029","Q6PFR5;Q3TAP5;Q3TNU2","-0.15"," 0.73","-0.09","-0.29",NA,NA,"  0.06"," -3.53"," 0.49"
"35030","Q6PFR5;Q3TAP5;Q3TNU2;Q52KI8-1;Q52KI8;A2A8V8;Q52KI8-2","-0.29","-0.07","-0.26",NA,NA,NA,NA," -0.18"," 0.14"
"35031","Q6PFR5;Q3TAP5;Q3TNU2","-0.33","-0.01",NA,NA," 0.39"," 0.49",NA,"  0.06"," 0.23"
"35032","Q922B6"," 2.90",NA,NA,NA,NA,NA,NA,NA,NA
"35033","Q922B6"," 0.31",NA,NA,NA,"-0.92",NA,NA,NA,NA
"35034","Q922B6"," 0.54",NA,NA,NA,"-0.92",NA,NA,NA,NA
"35035","Q922B6","-0.27","-0.46",NA,NA,NA,NA,NA,NA,NA
"35036","Q922B6"," 0.60","-0.32",NA,NA,NA,NA,NA,NA,NA
"35037","Q922B6"," 0.60",NA,NA,NA,NA,NA,NA,NA,NA
"35039","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q80VE1","-0.63",NA,"-0.71","-1.34","-0.44","-0.98"," -1.52"," -1.17","-0.76"
"35041","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q80VE1",NA,NA,"-0.58",NA,NA,NA,NA,NA,NA
"35042","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q80VE1"," 0.04","-0.41",NA,NA,NA,NA,NA," -0.77",NA
"35043","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3"," 2.54",NA," 0.52",NA,NA,NA,NA,NA,NA
"35044","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3",NA,"-2.23",NA,NA,NA,NA,NA,"  1.74",NA
"35045","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3",NA,"-2.23",NA,NA,NA,NA,NA,"  1.74",NA
"35046","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q3TM26","-0.22","-0.45","-0.53","-0.29",NA,NA," -0.29",NA,NA
"35047","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q3TM26"," 1.00","-0.51","-0.03","-0.76",NA,NA," -0.27","  0.23",NA
"35048","Q63ZV1;Q6PD31;Q80TL6;A2VDH1;Q8BWK8;Q8BYA3;Q3TM26"," 1.98","-0.38","-0.45","-0.52",NA,NA," -0.28","  0.23",NA
"35049","Q63ZV1;Q6PD31;Q80TL6","-0.90",NA,NA,NA,"-0.27",NA,NA,NA,NA
"35050","Q63ZV1;Q6PD31;Q80TL6",NA,NA,NA,NA," 1.23",NA,"  1.53",NA,NA
"35051","Q63ZV1;Q6PD31;Q80TL6",NA,NA,NA,NA," 1.23",NA,"  1.53",NA,NA
"35052","Q63ZV1;Q6PD31;Q80TL6",NA,NA,NA,NA," 1.23",NA,"  1.53",NA,NA
"35053","Q63ZV1;Q6PD31;Q80TL6","-1.40","-1.95","-1.59","-2.12","-2.90","-1.66"," -1.70"," -1.34","-1.36"
"35054","Q63ZV1;Q6PD31;Q80TL6",NA,"-2.11",NA,NA,NA,NA,NA,NA,NA
"35055","Q91V04;Q3TPI4;Q3UAT2;Q3ULV0;Q3UQ93;Q4FK14;Q9CVJ6","-0.16"," 0.00","-0.17",NA," 0.16"," 0.10",NA,"  0.61","-0.09"
"35056","Q924Z5","-0.73",NA,NA,NA,"-1.59","-1.06",NA,NA,"-1.29"
"35057","Q5NCF2;Q14BF8;B1ASW5"," 0.57",NA,NA,NA,NA,NA,NA,NA,NA
"35058","Q9QZE7;Q3TXK6"," 0.98"," 0.09"," 3.52",NA," 0.27"," 0.06",NA," -3.83"," 0.56"
"35059","Q9QZE7;Q3TXK6"," 0.43","-0.06"," 1.51",NA," 0.18"," 0.12"," -0.30"," -0.90",NA
"35060","Q9QZE7;Q3TXK6",NA,NA,NA,NA,NA,NA,"  0.10",NA,NA
"35061","Q9QZE7;Q3TXK6",NA,NA,NA,NA," 0.51",NA,NA,NA,NA
"35063","Q91XB0"," 0.07",NA,NA,NA,NA,NA,NA,NA,NA
"35064","Q91XB0","-0.22",NA,"-0.98",NA," 0.18",NA,NA,NA,NA
"35065","Q99PQ2-2;Q99PQ2;Q99PQ2-1;A2AB83;Q3TCL5"," 0.18",NA,NA,NA,NA,NA,NA,NA,NA
"35066","Q3URK9;Q5DU27;Q3TPI3;Q3UHH4;Q9ESN6;Q8CA33",NA,NA,NA,"-0.35","-0.99",NA,NA,NA,NA
"35067","Q3URK9;Q5DU27;Q3TPI3;Q3UHH4;Q9ESN6;Q8CA33",NA,NA,NA,"-0.35",NA,NA,NA,NA,NA
"35068","Q3U3X7;Q5SU70;Q922N9;B2KGS5;Q61510"," 1.65",NA,NA,NA,NA,NA,NA,NA,NA
"35070","Q8CH72;Q3TLR3;Q99PN6","-0.35",NA,NA,"-0.87","-0.27",NA," -0.54",NA,NA
"35071","Q8CH72;Q3TLR3;Q99PN6","-0.35",NA,NA,"-0.87","-0.27",NA," -0.54",NA,NA
"35072","Q8C0E3-1;Q8C0E3;A3KMJ7;Q497Z1;Q66JW4;Q7TMQ8;Q8C0E3-2;A2A861;B7ZN75"," 0.20"," 0.12"," 0.28","-0.21","-0.44","-0.42","  0.04"," -0.22"," 0.11"
"35074","Q8C0E3-1;Q8C0E3;A3KMJ7;Q497Z1;Q66JW4;Q7TMQ8;Q8C0E3-2;A2A861;B7ZN75"," 1.23"," 1.68"," 1.48"," 1.67"," 0.72"," 0.59","  1.81","  1.64"," 1.60"
"35075","Q80VI1","-0.74","-1.21","-0.35",NA,"-1.31"," 0.37",NA," -0.72","-1.41"
"35076","Q80VI1"," 0.27"," 0.34"," 0.62",NA,"-0.38","-0.14",NA," -0.17","-1.13"
"35077","Q80VI1"," 0.95"," 0.26",NA,NA,"-0.98",NA,NA,NA,"-0.02"
"35078","Q80VI1"," 1.12"," 0.87","-0.35",NA," 0.25"," 0.12",NA,"  0.83"," 1.23"
"35080","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2",NA," 0.59"," 0.81"," 0.02","-0.31","-0.14","  0.06"," -0.01"," 1.23"
"35081","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2"," 0.41"," 0.59"," 0.81"," 0.02","-0.31","-0.14","  0.06"," -0.01"," 1.23"
"35082","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2"," 0.33",NA," 0.15",NA,NA,NA,NA,NA,NA
"35083","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2","-0.01"," 0.08",NA,NA," 0.07",NA,NA,NA,NA
"35084","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3;Q0KL02-2",NA,NA,NA,NA,NA,"-0.57",NA,NA,NA
"35086","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3"," 4.45"," 2.86",NA," 2.97","-0.05"," 2.22","  2.40","  1.43",NA
"35087","Q0KL02-4;Q0KL02;Q0KL02-1;Q0KL02-3"," 4.45"," 2.86",NA," 2.97"," 2.21"," 2.22","  2.40","  1.43",NA
"35092","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA,NA," 0.26",NA,NA,NA,NA,NA,NA
"35093","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA," 0.68"," 0.26",NA,NA,NA,NA,NA,NA
"35094","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9"," 1.57"," 0.14"," 0.11",NA," 1.48",NA,NA,"  0.06",NA
"35097","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9"," 0.14"," 0.06"," 0.02"," 0.02"," 0.18"," 0.27"," -0.19","  0.24","-0.13"
"35099","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9;Q9CRV3","-0.15",NA,NA,NA,NA,NA,NA,NA,NA
"35101","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9"," 0.72"," 0.58"," 0.57"," 0.16"," 0.20"," 0.24","  0.16",NA,NA
"35102","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA,NA,NA,NA,"-1.11",NA,NA,NA,NA
"35103","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA,NA," 0.03","-0.28",NA,NA," -0.19","  0.16",NA
"35104","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA,NA,NA,"-0.22",NA,NA,NA,"  0.16",NA
"35105","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9"," 1.55",NA,NA,NA,NA,NA,NA,NA,NA
"35106","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9",NA,NA,NA," 0.08"," 0.16",NA,NA,NA,NA
"35107","B2RY51;Q3UFU7;Q3UTR9;Q811I5;Q8BVJ9","-0.89","-0.66","-0.58",NA,"-0.39","-0.38",NA," -0.47","-0.19"
"35108","Q9CQK1;Q5FW88","-0.39",NA," 0.01","-1.54",NA,NA," -1.31"," -0.10",NA
"35109","Q9CQK1;Q5FW88",NA,NA,NA,NA,"-0.81",NA,NA,NA,NA
"35112","Q8CDN6;Q3U8R9;Q3UBF4;Q3UNH3"," 0.20"," 0.02"," 0.19","-0.04","-0.02","-0.44"," -0.10"," -0.15","-0.23"
"35113","Q8CDN6;Q3U8R9;Q3UBF4;Q3UNH3"," 1.19",NA,NA,NA," 0.38",NA,NA,NA,NA
"35117","Q925H1;Q3UQJ9;Q499D6;Q5XK21;Q8K1J0;Q80V18",NA,NA,NA," 0.21",NA,NA,NA,"  0.94",NA
"35118","Q925H1;Q3UQJ9;Q499D6;Q5XK21;Q8K1J0;Q80V18",NA,NA,NA," 0.21",NA,NA,NA,"  0.94",NA
"35119","Q925H1;Q3UQJ9;Q499D6;Q5XK21;Q8K1J0;Q80V18"," 0.34","-1.75","-0.01"," 0.42","-0.96","-0.75","  1.50","  0.34"," 0.31"
"35120","Q925H1;Q3UQJ9;Q499D6;Q5XK21;Q8K1J0;Q80V18",NA," 0.42","-0.01"," 0.42"," 0.70"," 0.68","  1.50","  0.34"," 0.31"
