"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"14635","Q8C180"," 4.91",NA,NA,NA,NA,NA,NA,"  2.26",NA
"14637","Q8C180"," 1.91"," 2.79",NA,NA," 0.62",NA,NA,"  2.62"," 1.82"
"14639","Q8C180",NA," 0.12"," 0.34",NA," 0.01",NA,NA,"  0.13",NA
"14640","Q8C180"," 1.14",NA,NA,NA,NA,NA,NA,NA,NA
"14647","Q8C180"," 1.95",NA,NA,NA,NA,NA,NA,NA,NA
"14649","Q8C180"," 2.04",NA,NA,NA,NA,NA,NA,NA,NA
"14650","Q8C180"," 2.41",NA,NA,NA,NA," 1.92",NA,"  1.66",NA
"14652","Q8C180"," 0.26",NA,NA,NA," 0.26"," 0.24",NA,NA,NA
"14653","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05;Q8BFW3-1;Q8BFW3;Q8BFW3-2;Q3UU25","-0.01"," 0.07",NA,"-0.56"," 0.29",NA,NA,NA," 0.11"
"14654","Q8CHD0"," 0.43",NA,NA,NA," 0.28",NA,NA,NA,NA
"14655","Q8CHD0",NA,NA,NA,NA,NA,NA," -1.68",NA,NA
"14656","Q8CHD0"," 1.21",NA,NA,NA,NA,NA," -1.68",NA,NA
"14657","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05"," 0.01"," 0.19"," 0.01"," 0.60"," 0.37"," 0.76","  0.53","  0.55"," 0.40"
"14658","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05"," 0.10"," 0.19"," 0.01"," 0.60"," 0.37"," 0.76","  0.53","  0.55"," 0.40"
"14661","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05"," 0.20","-0.30"," 0.35"," 0.55",NA,NA,NA,"  0.35",NA
"14664","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05","-0.80",NA,"-0.90","-1.36",NA,NA,NA,NA,NA
"14665","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05","-0.80",NA,NA,NA,NA,NA,NA,NA,NA
"14666","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05",NA,NA,"-0.76",NA," 1.69",NA,NA,"  0.29",NA
"14667","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05"," 1.59"," 1.65"," 2.02"," 1.03"," 1.73"," 1.63","  1.29","  2.08"," 1.72"
"14669","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05;Q8BFW3-1;Q8BFW3;Q8BFW3-2;Q3UU25"," 0.10"," 0.24"," 0.29"," 0.03"," 0.56"," 0.34","  0.20","  0.18",NA
"14670","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05;Q8BFW3-1;Q8BFW3;Q8BFW3-2;Q3UU25",NA,NA,NA,"-0.56",NA,NA,NA,NA,"-0.04"
"14671","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05"," 1.08",NA,NA,NA,NA,NA,NA,NA,NA
"14672","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05;Q8BIW6;Q3TZB0;Q5DTL4;Q8BIX6;Q8CG91"," 0.06"," 0.58"," 0.30",NA,"-0.28",NA,NA," -0.25",NA
"14673","Q8CHD0;Q80UX7;Q80XD5;Q99KZ2;Q9CS05;Q8BIW6;Q3TZB0;Q5DTL4;Q8BIX6;Q8CG91"," 0.13",NA,"-0.37",NA,NA,NA,NA,NA,NA
"14676","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AB97","-0.49",NA,"-0.25",NA,"-1.65","-0.76",NA," -0.97","-0.59"
"14677","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.28",NA,NA,"-0.47"," 0.05",NA,NA,NA,NA
"14678","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.28",NA,NA,"-0.46"," 0.05",NA,NA,NA,NA
"14679","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD0","-0.28",NA,NA,"-0.44"," 0.05",NA,NA,NA,NA
"14680","A2AAE1-3;A2AAE1;A2AAE1-2;A2AB97",NA,NA,NA,NA," 1.33"," 1.19",NA,NA,NA
"14686","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6"," 2.84"," 2.99"," 7.80",NA,NA,NA,NA,NA," 1.87"
"14687","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6","-0.01","-0.04",NA,NA,NA,NA,NA,NA,NA
"14688","A2AAE1-3;A2AAE1;A2AAE1-2;A2AAE1-1;A2AAE0;Q8CDG7;A2AAE1-6;A2AAE1-4;A2AAD9;A2AAD6","-0.02","-0.04",NA,NA,NA,NA,NA,NA,NA
