Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0,-0.05,-0.01,0.45,0.07,0.05,NaN,0.24,NaN,NaN
B1ATA2;Q8VHK1,0.43,0.28,NaN,0.50,-0.17,NaN,-0.27,-0.11,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,0.73,NaN,-0.02,NaN,NaN,NaN,-0.27,NaN,NaN
B1ATA2;Q8VHK1,1.05,NaN,-0.02,0.50,NaN,NaN,-0.27,-0.01,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,NaN,NaN,-0.27,NaN,0.40
B1ATA2;Q8VHK1,1.28,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,1.28,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,0.94,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,1.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,0.67,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,1.00,NaN,NaN,NaN,NaN,NaN,0.10,NaN,NaN
B1ATA2;Q8VHK1,-2.48,2.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B1ATA2;Q8VHK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O35177,-1.41,-1.07,NaN,NaN,-1.80,-0.78,NaN,-0.95,-1.30
O35177,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O35177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O35177,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O08736;Q6B836;Q8BSX6;Q8BQQ5,0.23,NaN,NaN,NaN,1.05,NaN,NaN,NaN,NaN
P29594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P29594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P29594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P29594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P70677;Q8BNT4,-0.50,-0.48,NaN,NaN,NaN,NaN,NaN,NaN,-0.28
P70677;Q8BNT4,-1.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P97864;Q4FJQ4;Q8C4M5,0.30,0.08,0.20,NaN,1.30,-2.71,NaN,0.27,0.25
P97864;Q4FJQ4;Q8C4M5,0.44,NaN,0.52,NaN,0.18,NaN,NaN,NaN,NaN
P97864;Q4FJQ4;Q8C4M5,0.07,NaN,2.69,NaN,-0.06,-0.22,NaN,-0.33,NaN
O89110;Q3U607;Q4FK85,0.05,-0.20,0.28,-0.51,-0.34,-0.33,-0.62,-0.22,-0.27
O89110;Q3U607;Q4FK85,1.74,1.77,1.75,1.25,NaN,NaN,NaN,1.43,1.90
O89110;Q3U607;Q4FK85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q4FJK5;Q8C3Q0;Q8C3Q9;Q9R0T0;A2AS93;Q3TRE1;Q9R0S9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,1.22,1.87,3.17,2.40,1.45,NaN,NaN,2.52,NaN
P51125-1;P51125;P51125-2;P51125-3,0.57,0.32,0.25,-2.32,-0.22,0.01,0.50,0.11,-0.01
P51125-1;P51125;P51125-2;P51125-3,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,0.37,NaN,NaN,-0.03,0.36,-0.11,NaN,-0.68,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,0.87,2.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,1.96,2.20,2.25,1.45,1.70,1.34,1.60,2.29,1.75
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,2.50,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3,NaN,NaN,NaN,NaN,2.54,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,2.03,2.24,1.57,2.37,1.79,2.07,NaN,3.65,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P51125-1;P51125;P51125-2;P51125-6;Q8CE04;P51125-7;Q8C281;Q8CB83;Q8CE80;Q921U7;P51125-3;P51125-4;Q8BS37;P51125-5;Q3TTN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
